Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
YARRAC11065,Dominance Mixed Martial Arts,555,Victoria,Street,Richmond,3121.0,-37.809937,144.994548,17881,Martial Arts,,,,Yarra
YARRAC11048,Field Aikido Centre,214,Kerr,Street,Fitzroy,3065.0,-37.797968,144.983715,17864,Martial Arts,,,,Yarra
YARRAC10978,George Knott Athletics Track and Ray Coverdale Pavilion,,Heidelberg,Road,Clifton Hill,3068.0,-37.784205,145.002319,17769,Martial Arts,,,,Yarra
YARRAC11049,Inner City Systema,310,Gore,Street,Fitzroy,3065.0,-37.807708,144.98155400000002,17865,Martial Arts,,,,Yarra
YARRAC11067,Seido-Juku Karate,439,Swan,Street,Richmond,3121.0,-37.824628999999995,144.988844,17883,Martial Arts,,,,Yarra
YARRAC11033,Wing Chun Kung Fu Jee Shin,96,Hoddle,Street,Abbotsford,3067.0,-37.805707,144.99234199999998,17849,Martial Arts,,,,Yarra
YARRAC10977,Mayor’s Park Tennis Courts and Clubhouse,,Hoddle,Street,Clifton Hill,3068.0,-37.787996,144.994351,17765,Netball,26 - 50 Years,4. Good,6 - 10 Years,Yarra
YARRAC11028,Melbourne Girls College,,Yarra,Boulevard,Burnley,3121.0,-37.82969,145.012699,17841,Netball,,,,Yarra
YARRAC11009,Richmond Community Courts,,Gleadell,Street,Richmond,3121.0,-37.817218,145.000351,17811,Netball,11 - 25 Years,3. Average,6 - 10 Years,Yarra
YARRAC10973,Ryan’s Reserve Netball and Tennis Facility and Pavilion,,Swan,Street,Burnley,3121.0,-37.82731,145.00995600000002,17760,Netball,11 - 25 Years,3. Average,6 - 10 Years,Yarra
YARRAC11005,Edinburgh Gardens Skate Bowl,,St Georges,Road,Fitzroy North,3068.0,-37.786615000000005,144.983024,17805,Skating,11 - 25 Years,3. Average,1 - 5 Years,Yarra
YARRAC10988,Quarries Park Skate Facility,,Heidelberg,Road,Fairfield,3078.0,-37.790642999999996,145.004188,17783,Skating,,,,Yarra
YARRAC10983,Alan Bain Reserve and Pavilion,,Church,Street,Cremorne,3121.0,-37.830218,145.001134,17776,Soccer,11 - 25 Years,4. Good,1 - 5 Years,Yarra
YARRAC10967,Alphington Park Oval and Pavilion,,Parkview,Road,Alphington,3067.0,-37.783778999999996,145.029131,17751,Soccer,51 Years +,4. Good,1 - 5 Years,Yarra
YARRAC10994,Atherton Gardens Reserve,,Napier,Street,Fitzroy,3065.0,-37.803315000000005,144.979067,17791,Soccer,,,,Yarra
YARRAC10969,Bastow 1 and 2 Soccer Pitches and Gillon Pavilion,,Swan,Street,Burnley,3121.0,-37.828576,145.020462,17753,Soccer,26 - 50 Years,3. Average,1 - 5 Years,Yarra
YARRAC10970,Burnley Park Oval and O’Connell Pavilion,,Park,Grove,Burnley,3121.0,-37.826103,145.01414499999998,17755,Soccer,0 - 5 Years,4. Good,1 - 5 Years,Yarra
YARRAC10976,Coulson Reserve and Pavilion Soccer Pitch and Pavilion,,Queens,Parade,Clifton Hill,3068.0,-37.786384999999996,144.99672900000002,17764,Soccer,26 - 50 Years,3. Average,1 - 5 Years,Yarra
YARRAC10984,Fairfield Park Oval and Maxwell Sutherland Pavilion,,Yarra Bend,Road,Fairfield,3078.0,-37.785738,145.009954,17777,Soccer,26 - 50 Years,2. Poor,6 - 10 Years,Yarra
YARRAC10989,Fairlea Ovals,,Yarra Bend,Road,Fairfield,3078.0,-37.795643,145.00771799999998,17785,Soccer,26 - 50 Years,1. Very Poor,11 + Years,Yarra
